System,Refactoring,average totalNewFiles,average totalNewVolumeInMonths,average totalNewVolumeInLoc
cbeanutils,extractmethod,1.0,0.537,402.75
cbeanutils,extractvariable,1.0,0.45799999999999996,343.5
cbeanutils,inline,1.25,0.7893333333333333,592.0
cbeanutils,introduceindirection,2.25,1.287,965.25
cbeanutils,introducepo,1.5,0.217,162.75
cbeanutils,variabletofield,0.5,0.10733333333333334,80.5
ccli,extractmethod,1.0,0.19133333333333336,143.5
ccli,extractvariable,0.0,0.0,0.0
ccli,inline,1.0,0.325,243.75
ccli,introduceindirection,1.0,0.22799999999999998,171.0
ccli,introducepo,1.5,0.11666666666666667,87.5
ccli,variabletofield,1.0,0.2466666666666667,185.0
ccollections,extractmethod,1.0,0.4116666666666667,308.75
ccollections,extractvariable,0.25,0.30766666666666664,230.75
ccollections,inline,1.0,0.6950000000000001,521.25
ccollections,introduceindirection,7.25,2.821333333333334,2116.0
ccollections,introducepo,4.0,0.14333333333333334,107.5
ccollections,variabletofield,0.75,0.711,533.25
cio,extractmethod,1.0,0.339,254.25
cio,extractvariable,0.5,0.13133333333333333,98.5
cio,inline,2.75,1.6276666666666668,1220.75
cio,introduceindirection,2.25,0.14266666666666666,107.0
cio,introducepo,2.0,0.27066666666666667,203.0
cio,variabletofield,1.0,0.5136666666666667,385.25
clang,extractmethod,1.0,1.138,853.5
clang,extractvariable,0.75,0.7440000000000001,558.0
clang,inline,0.75,0.2846666666666667,213.5
clang,introduceindirection,8.25,3.5796666666666663,2684.75
clang,introducepo,1.75,0.06933333333333334,52.0
clang,variabletofield,1.0,0.204,153.0
cmath,extractmethod,0.75,0.9473333333333334,710.5
cmath,extractvariable,1.0,0.6296666666666666,472.25
cmath,inline,14.25,3.8516666666666666,2888.75
cmath,introduceindirection,5.75,1.444,1083.0
cmath,introducepo,3.5,0.49166666666666664,368.75
cmath,variabletofield,0.75,0.24266666666666667,182.0
jodaconvert,extractmethod,1.0,0.28733333333333333,215.5
jodaconvert,extractvariable,0.0,0.0,0.0
jodaconvert,inline,1.0,0.378,283.5
jodaconvert,introduceindirection,1.0,0.35833333333333334,268.75
jodaconvert,introducepo,1.0,0.009000000000000001,6.75
jodaconvert,variabletofield,0.75,0.266,199.5
jodatime,extractmethod,1.0,0.5633333333333334,422.5
jodatime,extractvariable,0.75,0.29133333333333333,218.5
jodatime,inline,1.25,0.5336666666666667,400.25
jodatime,introduceindirection,4.5,1.9926666666666666,1494.5
jodatime,introducepo,3.5,1.1376666666666666,853.25
jodatime,variabletofield,1.0,0.6173333333333333,463.0
sudoku,extractmethod,1.0,0.24333333333333332,182.5
sudoku,extractvariable,0.0,0.0,0.0
sudoku,inline,0.75,0.14866666666666667,111.5
sudoku,introduceindirection,1.0,0.24133333333333334,181.0
sudoku,introducepo,1.0,0.009333333333333334,7.0
sudoku,variabletofield,0.5,0.11933333333333333,89.5
