System Name,Volume (PM),Maintainability Score,Measurability Score,Freshness Score,Reliability Score,Greenability Score
cmath,91.02260869565214,2.0659109065445183,2.3228259227627603,5.277525,3.7,3.3415654573268196
cbeanutils,17.382029527292424,2.078479482223208,1.7435597025131775,2.9512166666666664,4.4,2.793313962850763
ccli,2.8227798997697415,2.6944112765697352,2.6905223199337307,5.28464,5.5,4.042393399125866
sudoku,0.5,3.404220247284917,2.92482224605877,5.339745000000001,5.5,4.2921968733359215
jodaconvert,1.2662608695652173,3.1657179039079684,3.2826510988069675,5.158945,5.5,4.276828500678734
ccollections,35.56551374779899,2.866431403378006,3.0061738773132496,5.328835,2.2,3.350360070172814
jodatime,44.2879089800894,2.2847801691961696,1.8017719000578651,2.72048,3.4,2.5517580173135084
cio,14.519314641744543,2.5718196349241222,1.970765336341251,2.725025,2.8,2.5169024928163433
clang,30.565337125829622,2.2798205521878576,1.8289172148801747,2.728285,3.1,2.4842556917670082
